MonthYear,EventBaseCode,Count
201609   ,153          ,2
201902   ,160          ,358
201901   ,090          ,1328
201705   ,145          ,9
201910   ,061          ,86
201808   ,172          ,214
201710   ,055          ,21
201809   ,051          ,1502
201510   ,037          ,32
201503   ,141          ,319
201511   ,045          ,11
201712   ,154          ,29
201607   ,202          ,72
201607   ,145          ,11
201711   ,084          ,432
201711   ,051          ,1994
201806   ,172          ,219
201811   ,133          ,1
201907   ,036          ,850
201907   ,060          ,161
201907   ,075          ,17
202002   ,017          ,135
202002   ,122          ,4
201507   ,081          ,20
201603   ,081          ,27
201507   ,195          ,6
202001   ,139          ,4
201709   ,131          ,9
201601   ,180          ,77
201710   ,035          ,32
201611   ,153          ,1
201701   ,094          ,2
201605   ,023          ,83
201909   ,010          ,1637
201906   ,164          ,9
201601   ,191          ,27
201604   ,191          ,11
201703   ,092          ,4
201604   ,032          ,15
201601   ,075          ,19
201507   ,162          ,6
201506   ,181          ,15
201504   ,171          ,60
201503   ,105          ,7
201908   ,202          ,19
201511   ,032          ,12
201902   ,056          ,8
201809   ,129          ,111
201809   ,181          ,14
201811   ,033          ,43
201803   ,162          ,6
201912   ,154          ,38
201504   ,129          ,8
201901   ,064          ,7
202003   ,203          ,3
202001   ,053          ,2
201507   ,039          ,3
201508   ,038          ,2
202004   ,043          ,758
202004   ,120          ,289
201704   ,152          ,4
201704   ,019          ,2
201611   ,020          ,2014
201611   ,014          ,91
201702   ,082          ,3
201707   ,166          ,66
201608   ,010          ,2084
201706   ,018          ,36
201706   ,133          ,7
201610   ,112          ,556
202003   ,163          ,10
201602   ,154          ,47
201704   ,191          ,13
201609   ,180          ,215
201609   ,055          ,21
201706   ,032          ,12
201502   ,045          ,12
201508   ,012          ,342
201509   ,043          ,1800
201603   ,031          ,135
201509   ,166          ,5
201601   ,060          ,225
201709   ,172          ,278
201709   ,020          ,1865
201803   ,073          ,103
201807   ,195          ,14
201705   ,080          ,267
201804   ,191          ,13
201911   ,062          ,77
201902   ,186          ,28
201910   ,020          ,1222
201910   ,141          ,122
201910   ,172          ,170
201910   ,070          ,156
201808   ,084          ,324
201710   ,033          ,66
201502   ,060          ,70
201603   ,080          ,188
201510   ,054          ,19
201508   ,053          ,3
201712   ,130          ,289
201712   ,070          ,282
201607   ,072          ,244
201607   ,154          ,305
201607   ,019          ,2
201802   ,124          ,8
201705   ,113          ,2
201803   ,054          ,24
201711   ,160          ,179
201903   ,152          ,24
201806   ,073          ,109
201811   ,035          ,53
201907   ,046          ,605
201809   ,075          ,14
201908   ,050          ,258
201908   ,143          ,19
201705   ,082          ,2
202002   ,032          ,4
201510   ,174          ,221
201512   ,087          ,107
201607   ,194          ,13
201506   ,182          ,77
201804   ,085          ,4
201503   ,143          ,12
201901   ,129          ,17
201502   ,061          ,32
201909   ,050          ,290
201909   ,027          ,21
201904   ,143          ,45
201906   ,171          ,29
201504   ,191          ,54
201910   ,052          ,15
201502   ,150          ,9
201601   ,101          ,34
201509   ,163          ,19
201604   ,202          ,5
201712   ,202          ,15
201807   ,085          ,5
201709   ,038          ,1
201605   ,018          ,22
201605   ,139          ,15
201507   ,202          ,14
201912   ,194          ,11
201901   ,086          ,2
201904   ,094          ,1
201508   ,019          ,4
201507   ,021          ,7
201910   ,064          ,1
201910   ,038          ,2
201511   ,038          ,1
202004   ,046          ,183
201604   ,160          ,117
201706   ,040          ,1959
201701   ,075          ,20
201702   ,113          ,4
201707   ,032          ,38
201706   ,150          ,51
201706   ,162          ,2
201705   ,036          ,1140
201609   ,171          ,85
201903   ,111          ,447
201702   ,083          ,64
201703   ,083          ,106
201703   ,023          ,74
201703   ,014          ,165
201609   ,011          ,28
201612   ,112          ,518
201612   ,013          ,291
201603   ,120          ,607
201506   ,022          ,24
201506   ,080          ,220
201509   ,192          ,100
201503   ,051          ,1293
201504   ,112          ,459
201512   ,013          ,321
201805   ,087          ,171
202005   ,195          ,4
201807   ,182          ,68
201807   ,015          ,51
201802   ,012          ,599
201810   ,040          ,1674
201710   ,164          ,21
201810   ,022          ,16
201502   ,128          ,4
201503   ,017          ,293
201503   ,131          ,29
201601   ,070          ,225
201712   ,161          ,35
201802   ,032          ,16
201711   ,022          ,20
201711   ,161          ,39
201711   ,191          ,73
201903   ,114          ,145
201806   ,110          ,470
201806   ,018          ,14
201907   ,100          ,100
201906   ,040          ,1623
201809   ,028          ,48
201908   ,100          ,142
201505   ,122          ,34
201605   ,022          ,59
201505   ,035          ,13
201510   ,018          ,35
201505   ,182          ,144
201906   ,051          ,1337
201907   ,194          ,10
201606   ,054          ,64
201712   ,074          ,8
201804   ,121          ,1
201801   ,025          ,7
202003   ,195          ,2
201506   ,143          ,20
201702   ,121          ,3
201909   ,130          ,208
202002   ,151          ,2
201906   ,014          ,105
201505   ,024          ,10
201601   ,133          ,14
201909   ,101          ,9
201608   ,074          ,2
201809   ,011          ,18
201912   ,203          ,6
201605   ,121          ,11
201809   ,139          ,4
201908   ,170          ,1
201904   ,028          ,2
201811   ,153          ,2
201506   ,133          ,1
201709   ,151          ,2
201601   ,185          ,4
201604   ,170          ,2
202001   ,191          ,7
201810   ,091          ,3
201908   ,131          ,1
201503   ,142          ,1
201801   ,019          ,4
201602   ,194          ,1
202004   ,193          ,141
202004   ,011          ,8
201704   ,042          ,1674
201704   ,180          ,116
201704   ,194          ,21
201611   ,036          ,1214
201611   ,182          ,80
201701   ,064          ,3
201708   ,026          ,79
201706   ,052          ,22
201706   ,124          ,11
201610   ,130          ,289
201610   ,035          ,51
202003   ,045          ,22
201903   ,013          ,216
201610   ,140          ,21
201609   ,192          ,88
201701   ,054          ,22
201601   ,051          ,1361
201506   ,193          ,208
201510   ,150          ,25
201601   ,160          ,113
201502   ,046          ,276
201709   ,031          ,78
201703   ,053          ,6
201801   ,014          ,152
201905   ,114          ,314
201609   ,144          ,12
201803   ,111          ,798
201803   ,129          ,110
201807   ,087          ,127
201807   ,052          ,20
201804   ,073          ,126
201804   ,038          ,1
201802   ,163          ,28
201810   ,062          ,68
201911   ,125          ,51
201706   ,027          ,1
201902   ,125          ,204
201705   ,131          ,3
201808   ,090          ,430
201808   ,061          ,93
201710   ,026          ,235
201710   ,195          ,11
201710   ,112          ,381
201901   ,072          ,70
201812   ,015          ,30
201604   ,100          ,172
201505   ,129          ,61
201506   ,114          ,130
201603   ,114          ,127
201507   ,203          ,21
201602   ,124          ,12
201607   ,125          ,110
201607   ,128          ,59
201802   ,202          ,50
201810   ,073          ,38
201903   ,194          ,3
201806   ,057          ,723
201806   ,033          ,81
201806   ,031          ,69
201811   ,131          ,41
201907   ,050          ,203
201709   ,113          ,18
201809   ,018          ,35
201809   ,128          ,37
201908   ,173          ,340
201908   ,036          ,1268
202001   ,081          ,10
202002   ,104          ,19
201605   ,112          ,566
201604   ,063          ,8
201604   ,072          ,97
201601   ,033          ,60
201802   ,056          ,13
201709   ,153          ,6
201606   ,031          ,147
201912   ,011          ,14
201612   ,064          ,3
201510   ,087          ,149
201512   ,062          ,19
201508   ,044          ,10
201504   ,025          ,13
201702   ,134          ,1
201904   ,011          ,35
201510   ,045          ,21
201508   ,016          ,37
201505   ,133          ,5
201806   ,045          ,20
201511   ,185          ,4
201808   ,143          ,4
201807   ,152          ,2
201604   ,037          ,10
201908   ,124          ,24
201511   ,074          ,9
201812   ,194          ,12
201801   ,139          ,9
201603   ,122          ,3
201907   ,027          ,5
201510   ,082          ,4
201809   ,145          ,9
201906   ,035          ,17
201912   ,038          ,3
201503   ,039          ,6
201908   ,195          ,8
201904   ,175          ,8
201607   ,127          ,13
201601   ,054          ,13
201908   ,091          ,2
201603   ,144          ,5
201505   ,140          ,3
202005   ,072          ,5
201605   ,034          ,1
201606   ,082          ,1
202003   ,051          ,915
201611   ,171          ,97
201611   ,064          ,12
201701   ,173          ,521
201701   ,033          ,61
201701   ,022          ,66
201702   ,041          ,114
201707   ,112          ,761
201707   ,131          ,56
201707   ,121          ,1
201706   ,042          ,1632
201511   ,057          ,689
201706   ,026          ,140
201610   ,054          ,20
202003   ,018          ,24
202003   ,011          ,15
201703   ,057          ,766
201708   ,133          ,2
201609   ,073          ,68
201609   ,056          ,9
201612   ,071          ,420
201612   ,140          ,26
201612   ,174          ,187
201611   ,105          ,4
201701   ,129          ,33
201505   ,111          ,462
201504   ,071          ,269
201503   ,061          ,182
201512   ,071          ,364
201602   ,193          ,196
201504   ,110          ,435
201510   ,030          ,523
201504   ,062          ,46
201610   ,166          ,2
201707   ,103          ,3
201709   ,125          ,73
201709   ,043          ,1626
201805   ,144          ,25
201801   ,043          ,1515
201801   ,161          ,30
201801   ,145          ,14
201803   ,110          ,613
201803   ,031          ,136
201802   ,015          ,197
201705   ,040          ,2055
201705   ,053          ,12
201705   ,064          ,4
201804   ,018          ,32
201911   ,141          ,142
201911   ,191          ,12
201706   ,064          ,1
201902   ,182          ,81
201705   ,091          ,6
201801   ,186          ,28
201910   ,081          ,18
201710   ,180          ,149
201712   ,022          ,60
201712   ,160          ,114
201802   ,025          ,24
201810   ,150          ,25
201711   ,092          ,2
201903   ,057          ,528
201811   ,010          ,1773
201811   ,130          ,217
201809   ,100          ,143
201809   ,150          ,102
202001   ,026          ,142
202002   ,112          ,415
201504   ,023          ,72
201509   ,083          ,46
201505   ,026          ,108
201907   ,202          ,9
201912   ,175          ,5
201512   ,124          ,15
201502   ,182          ,31
201612   ,105          ,4
201511   ,194          ,59
201904   ,174          ,34
201906   ,193          ,124
201906   ,084          ,292
201906   ,023          ,41
201906   ,161          ,4
201505   ,152          ,10
201602   ,064          ,15
201510   ,202          ,11
201905   ,124          ,5
201712   ,152          ,1
201512   ,102          ,2
201902   ,133          ,5
201502   ,054          ,6
201906   ,056          ,12
201906   ,075          ,7
201901   ,082          ,6
201506   ,203          ,8
201912   ,037          ,3
201604   ,139          ,2
201610   ,151          ,2
201501   ,110          ,3
201808   ,202          ,2
201502   ,086          ,2
201501   ,013          ,4
201503   ,202          ,2
201507   ,053          ,1
201504   ,037          ,3
201510   ,074          ,2
202001   ,123          ,7
201810   ,140          ,1
201903   ,053          ,5
201512   ,028          ,1
201911   ,183          ,3
201510   ,102          ,1
201611   ,061          ,150
201611   ,185          ,2
201701   ,110          ,350
201702   ,084          ,345
201701   ,192          ,179
201701   ,134          ,4
201707   ,203          ,16
201608   ,083          ,57
201508   ,043          ,1471
201704   ,025          ,23
201705   ,110          ,374
201610   ,061          ,215
202003   ,174          ,42
202003   ,028          ,4
201702   ,025          ,20
201602   ,046          ,990
201703   ,052          ,25
201703   ,086          ,13
201609   ,026          ,279
201510   ,071          ,305
201612   ,144          ,3
201612   ,141          ,710
201612   ,014          ,100
201612   ,145          ,71
201510   ,111          ,400
201504   ,012          ,370
201601   ,193          ,169
201605   ,173          ,533
201503   ,013          ,238
201502   ,033          ,92
202005   ,042          ,11
201709   ,057          ,622
201805   ,020          ,1559
201805   ,072          ,55
202005   ,090          ,7
201703   ,195          ,7
201807   ,060          ,223
201807   ,022          ,19
201807   ,114          ,145
201807   ,124          ,19
201804   ,050          ,219
201705   ,180          ,173
201911   ,172          ,265
201606   ,075          ,15
201902   ,080          ,270
201808   ,013          ,254
201808   ,053          ,7
201710   ,100          ,145
201609   ,045          ,8
201812   ,060          ,187
201812   ,073          ,107
201505   ,173          ,434
201506   ,154          ,86
201505   ,180          ,75
201709   ,124          ,16
201507   ,033          ,51
201711   ,125          ,157
201806   ,041          ,65
201806   ,114          ,154
201811   ,027          ,8
201907   ,081          ,16
201908   ,180          ,68
202001   ,172          ,252
202001   ,072          ,87
202002   ,090          ,321
202002   ,166          ,20
201509   ,172          ,288
201511   ,026          ,92
201506   ,014          ,95
202001   ,104          ,10
201606   ,060          ,244
201912   ,014          ,100
201510   ,161          ,16
201902   ,045          ,28
201603   ,154          ,38
201502   ,081          ,4
201806   ,151          ,4
201511   ,186          ,37
201609   ,063          ,4
201909   ,054          ,19
201904   ,090          ,391
201810   ,175          ,7
201704   ,093          ,1
201511   ,128          ,32
201805   ,153          ,2
201606   ,101          ,13
201506   ,140          ,6
201812   ,113          ,5
201507   ,183          ,3
201905   ,103          ,2
201901   ,106          ,14
201604   ,175          ,2
201604   ,074          ,2
201601   ,053          ,1
201903   ,113          ,1
201601   ,027          ,2
202005   ,138          ,1
201911   ,094          ,6
201507   ,091          ,3
201606   ,106          ,3
201807   ,039          ,2
201505   ,038          ,1
201805   ,115          ,4
202004   ,084          ,269
202004   ,183          ,2
201604   ,120          ,599
201701   ,084          ,354
201707   ,125          ,112
201708   ,154          ,54
201708   ,061          ,125
201608   ,020          ,1681
201708   ,011          ,34
201706   ,021          ,26
201610   ,164          ,139
201602   ,060          ,233
201609   ,014          ,107
201601   ,125          ,77
201508   ,040          ,1237
201608   ,139          ,11
201601   ,012          ,508
201508   ,050          ,310
201805   ,043          ,1791
201610   ,152          ,7
201611   ,122          ,1
201805   ,131          ,12
201801   ,190          ,857
201905   ,055          ,80
201807   ,111          ,485
201807   ,172          ,276
201807   ,033          ,82
201804   ,021          ,65
201803   ,027          ,7
201905   ,064          ,3
201902   ,043          ,2553
201902   ,027          ,13
201605   ,086          ,25
201910   ,152          ,4
201901   ,084          ,340
201808   ,086          ,7
201510   ,033          ,103
201709   ,183          ,1
201711   ,193          ,329
201903   ,083          ,38
201811   ,180          ,104
201811   ,191          ,28
201811   ,125          ,39
201809   ,112          ,377
201809   ,046          ,947
201810   ,082          ,7
202001   ,033          ,49
202002   ,043          ,1410
202002   ,011          ,17
201504   ,018          ,34
201603   ,160          ,110
201604   ,075          ,43
201802   ,166          ,2
202001   ,063          ,31
201606   ,194          ,20
201807   ,192          ,86
201912   ,193          ,199
201506   ,101          ,13
201507   ,037          ,9
201903   ,085          ,6
201703   ,194          ,24
202003   ,139          ,13
201911   ,027          ,3
202003   ,085          ,8
201603   ,053          ,21
201904   ,114          ,169
201904   ,138          ,86
201906   ,172          ,207
201603   ,105          ,35
201506   ,015          ,45
201704   ,039          ,1
201711   ,152          ,7
201907   ,037          ,9
201606   ,162          ,6
201610   ,028          ,2
201812   ,161          ,159
201607   ,081          ,7
201506   ,129          ,2
201605   ,140          ,7
201907   ,063          ,2
201906   ,064          ,3
201507   ,082          ,5
201812   ,063          ,24
201505   ,183          ,4
201809   ,103          ,3
201904   ,166          ,2
201506   ,139          ,3
201502   ,145          ,5
201502   ,106          ,3
201808   ,183          ,4
201912   ,124          ,4
201804   ,185          ,1
201703   ,134          ,2
202004   ,081          ,51
201604   ,112          ,478
201611   ,035          ,48
201701   ,182          ,109
201701   ,112          ,427
201702   ,042          ,1670
201702   ,171          ,148
201702   ,024          ,7
201707   ,111          ,1035
201707   ,087          ,200
201708   ,186          ,16
201608   ,026          ,158
201608   ,104          ,7
201612   ,036          ,918
201610   ,100          ,167
201702   ,022          ,70
201702   ,115          ,3
201703   ,020          ,2922
201703   ,154          ,150
201703   ,054          ,28
201612   ,161          ,20
201701   ,056          ,30
201604   ,011          ,20
201509   ,111          ,574
201508   ,061          ,134
201502   ,036          ,290
201605   ,012          ,523
201510   ,141          ,232
201505   ,080          ,366
201605   ,057          ,613
201508   ,060          ,219
201701   ,142          ,21
201705   ,030          ,477
201801   ,012          ,477
201801   ,110          ,514
201801   ,073          ,278
201905   ,046          ,788
201905   ,017          ,235
201905   ,192          ,76
201807   ,035          ,35
201807   ,072          ,108
201804   ,057          ,489
201804   ,130          ,249
201802   ,174          ,103
201705   ,031          ,101
201705   ,160          ,88
201810   ,110          ,357
201911   ,040          ,1251
201911   ,193          ,118
201811   ,084          ,359
201805   ,064          ,9
201509   ,061          ,139
201902   ,128          ,42
201902   ,124          ,8
201909   ,125          ,84
201808   ,110          ,303
201810   ,045          ,21
201512   ,016          ,63
201507   ,025          ,10
201901   ,182          ,116
201712   ,122          ,4
201711   ,064          ,11
201806   ,182          ,60
201806   ,087          ,124
201811   ,025          ,14
201907   ,191          ,15
201907   ,130          ,142
201907   ,044          ,31
201907   ,171          ,37
201809   ,041          ,53
201908   ,016          ,17
202001   ,160          ,148
202001   ,083          ,53
202002   ,160          ,211
201505   ,100          ,180
201802   ,139          ,4
201606   ,083          ,70
201606   ,153          ,2
201911   ,127          ,5
201911   ,139          ,2
201801   ,024          ,14
201611   ,106          ,1
201906   ,110          ,323
201810   ,037          ,3
201512   ,037          ,15
201608   ,131          ,2
201509   ,032          ,34
201510   ,016          ,30
201806   ,113          ,8
201507   ,035          ,33
201909   ,085          ,2
201812   ,081          ,17
201710   ,106          ,1
201901   ,113          ,2
201912   ,086          ,2
201806   ,140          ,2
201901   ,094          ,1
201808   ,170          ,5
201502   ,019          ,2
201711   ,162          ,3
201701   ,202          ,1
201903   ,024          ,4
201907   ,086          ,3
201603   ,103          ,1
202004   ,129          ,9
201611   ,070          ,281
201702   ,131          ,12
201707   ,020          ,2179
201607   ,130          ,395
202004   ,166          ,1
201708   ,114          ,251
201610   ,043          ,2093
201511   ,180          ,80
201706   ,194          ,8
201610   ,171          ,164
201609   ,030          ,622
201609   ,174          ,55
201612   ,128          ,44
201509   ,013          ,321
201509   ,112          ,397
201504   ,190          ,968
201603   ,036          ,1435
201503   ,043          ,1584
201508   ,120          ,510
201805   ,193          ,255
201805   ,111          ,594
201801   ,192          ,99
201712   ,043          ,1651
201905   ,185          ,1
201803   ,026          ,218
201804   ,013          ,220
201804   ,087          ,97
201705   ,191          ,20
201804   ,145          ,103
201810   ,181          ,41
201810   ,163          ,22
201902   ,046          ,1390
201902   ,033          ,63
201705   ,021          ,42
201910   ,071          ,262
201910   ,044          ,27
201808   ,014          ,49
201601   ,186          ,53
201901   ,145          ,22
201901   ,121          ,5
201701   ,151          ,6
201710   ,154          ,59
201607   ,104          ,15
201810   ,203          ,17
201711   ,124          ,11
201903   ,161          ,31
201903   ,101          ,11
201907   ,017          ,254
201907   ,020          ,1109
201907   ,080          ,180
201809   ,087          ,128
201511   ,062          ,58
201510   ,031          ,149
201510   ,124          ,9
201605   ,138          ,115
201606   ,050          ,431
201804   ,122          ,2
201912   ,190          ,628
201912   ,087          ,118
201710   ,037          ,8
201503   ,056          ,4
201706   ,019          ,2
201512   ,128          ,56
201904   ,082          ,6
201904   ,101          ,4
202002   ,052          ,12
201906   ,191          ,20
201501   ,061          ,1
201509   ,128          ,19
201602   ,152          ,13
201704   ,092          ,1
201801   ,027          ,1
201812   ,142          ,1
201504   ,027          ,8
201508   ,131          ,11
201605   ,021          ,52
201506   ,055          ,3
201511   ,195          ,16
201812   ,052          ,14
201906   ,037          ,5
201906   ,115          ,2
201710   ,019          ,2
201602   ,024          ,15
201804   ,133          ,1
201904   ,161          ,17
201704   ,105          ,1
201505   ,093          ,1
201603   ,124          ,6
201707   ,134          ,2
201511   ,121          ,2
201701   ,115          ,1
201505   ,091          ,2
201801   ,105          ,5
201509   ,134          ,2
201501   ,100          ,1
201503   ,082          ,1
202004   ,014          ,81
201704   ,087          ,136
201511   ,190          ,776
201701   ,154          ,321
201602   ,112          ,499
201701   ,050          ,252
201707   ,062          ,148
201707   ,143          ,14
201612   ,130          ,228
201610   ,039          ,2
201510   ,020          ,1447
201609   ,021          ,18
201609   ,124          ,29
201606   ,120          ,665
201612   ,011          ,16
201701   ,133          ,18
201607   ,010          ,3351
201507   ,036          ,878
201605   ,020          ,1908
201505   ,125          ,93
201504   ,160          ,228
201805   ,044          ,17
201510   ,154          ,60
202005   ,143          ,7
201609   ,127          ,8
201803   ,012          ,485
201804   ,023          ,35
201804   ,160          ,125
201605   ,030          ,493
201810   ,173          ,416
201809   ,020          ,1719
201810   ,021          ,18
201911   ,020          ,1004
201911   ,195          ,4
201801   ,191          ,62
201808   ,190          ,747
201812   ,138          ,49
201503   ,087          ,126
201901   ,052          ,18
201712   ,020          ,1634
